file,has_custom_behavior,mock_apis
test/unit/ui/snapshotRestoreUI.test.ts,22,Uri|commands|window|workspace
test/unit/ui/protectionDecorationProvider.test.ts,20,Uri|commands|window
test/unit/ui/SnapBackCodeLensProvider.markWrong.test.ts,11,Uri|commands|window|workspace
test/unit/ui/decoration-immediate-update.test.ts,9,Uri|workspace
test/unit/ui/FileDecorationProvider.integration.test.ts,5,Uri|workspace
test/unit/ui/ProtectionLevelSelector.test.ts,18,window
test/unit/snapshot/checkpoint/storageEfficiency.test.ts,0
0,fs.|workspace
test/unit/telemetry.test.ts,27,workspace
test/unit/cross-platform/compatibility.test.ts,8,Uri|commands|fs.|window|workspace
test/unit/error-handling/general-errors.test.ts,15,Uri|commands|fs.|window|workspace
test/unit/tutorial/InteractiveTutorial.wiring.test.ts,17,Uri|commands|window|workspace
test/unit/memory/cleanup.test.ts,9,Uri|commands|window|workspace
test/unit/timelineProvider.unit.test.ts,0
0,Uri
test/unit/telemetry-whitelist.test.ts,3,workspace
test/unit/config/configurationManager.unit.test.ts,11,commands|fs.|window|workspace
test/unit/config/configurationManager.test.ts,6,commands|fs.|window|workspace
test/unit/config/loaders.unit.test.ts,9,fs.|workspace
test/unit/config/security.comprehensive.test.ts,14,fs.|workspace
test/unit/config/cache.unit.test.ts,8,commands|fs.|window|workspace
test/unit/security/comprehensive-security.test.ts,4,authentication|fs.|window|workspace
test/unit/protectionDecoratorSyncFix.unit.test.ts,7,Uri
test/unit/integration/complex-workflows.test.ts,10,Uri|commands|fs.|window|workspace
test/unit/configFileScanner.unit.test.ts,11,extensions|fs.|workspace
test/unit/fileWatcher.unit.test.ts,3,workspace
test/unit/progressTracker.test.ts,2,window
test/unit/activation/non-blocking.test.ts,10,Uri|commands|extensions|window|workspace
test/unit/policy-override-comprehensive.test.ts,4,fs.|window|workspace
test/unit/consent.test.ts,18,window|workspace
test/unit/operationCoordinator.listCheckpoints.test.ts,7,window|workspace
test/unit/utils/AIOptInManager.test.ts,7,window
test/unit/utils/fileChangeAnalyzer.test.ts,4,Uri|fs.|workspace
test/unit/utils/ContextKeyManager.test.ts,16,commands
test/unit/utils/AdaptiveHintManager.test.ts,7,Uri|commands|window
test/unit/utils/progressReporter.test.ts,20,window
test/unit/utils/AIPresenceDetector.test.ts,0
0,Uri|extensions
test/unit/utils/statusBarAnimator.test.ts,22,window|workspace
test/unit/utils/SessionTagger.test.ts,3,Uri|extensions|workspace
test/unit/utils/TipBudgetManager.test.ts,12,window
test/unit/utils/treeItemBadgeProvider.test.ts,7,workspace
test/unit/utils/pathNormalization.test.ts,9,Uri|fs.|window|workspace
test/unit/autoCheckpoint.unit.test.ts,16,window|workspace
test/unit/storage/snapshotStoreV2.test.ts,17,Uri|workspace
test/unit/decorations/FileHealthDecorationProvider.test.ts,7,Uri|commands|window
test/unit/protection/protectionConfigManager.unit.test.ts,5,fs.|window|workspace
test/unit/operationCoordinator.ignore.unit.test.ts,3,Uri|commands|fs.|window|workspace
test/unit/operationCoordinator.test.ts,9,Uri|commands|fs.|window|workspace
test/unit/policy-overrides.test.ts,0
0,window|workspace
test/unit/telemetryWhitelist.test.ts,15,workspace
test/unit/rules/RulesManager.test.ts,1,
test/unit/welcomeView.test.ts,16,Uri|commands
test/unit/ProtectionConfigManager.unit.test.ts,26,window|workspace
test/unit/demo-critical/ai-detection.test.ts,0
0,extensions|window
test/unit/commands/compareWithCheckpoint.test.ts,9,Uri|commands|window|workspace
test/unit/commands/protection-level-commands.test.ts,11,Uri|commands|window|workspace
test/unit/commands/sessionCommands.test.ts,7,commands|window|workspace
test/unit/mcpView.test.ts,6,window
test/unit/views/SnapBackTreeProvider.test.ts,6,window
test/unit/views/snapBackTreeProvider.badge.test.ts,28,window|workspace
test/unit/views/protectedFilesTreeProvider.test.ts,0
0,Uri|workspace
test/unit/views/protectedFilesTreeProvider.tierAware.test.ts,49,
test/unit/restore/restore-manager.test.ts,15,Uri|commands|window|workspace
test/unit/domain/prwManager.test.ts,26,Uri|workspace
test/unit/conflictResolver.test.ts,22,Uri|commands|fs.|window|workspace
test/unit/detection/ai-detector.test.ts,0
0,extensions|window
test/unit/notifications/protectionNotifications.test.ts,8,window
test/unit/services/MCPLifecycleManager.test.ts,14,workspace
test/unit/services/snapshotSummaryProvider.test.ts,14,workspace
test/unit/services/PreSnapshotService.test.ts,18,window|workspace
test/unit/services/configFileScanner.test.ts,27,Uri|fs.|workspace
test/unit/services/protectionDecorator.test.ts,18,Uri|workspace
test/unit/mcpConfigView.test.ts,6,Uri|window
test/unit/policy/PolicyPrecedence.test.ts,1,window|workspace
test/unit/logger.test.ts,0
0,window|workspace
test/unit/stress/high-file-count.test.ts,9,Uri|commands|fs.|window|workspace
test/unit/policy-override-commands.test.ts,0
0,commands|window|workspace
test/integration/copilot-intercept.integration.test.ts,19,Uri|extensions|window|workspace
test/integration/dismissSimilarNotifications.integration.test.ts,0
0,window
test/integration/selectiveRestoration.integration.test.ts,9,window|workspace
test/integration/snapshot/SnapshotStorageAdapter.integration.test.ts,7,Uri|fs.|workspace
test/integration/backupVerification.integration.test.ts,14,Uri|commands|fs.|window|workspace
test/integration/mcpLifecycle.integration.test.ts,14,workspace
test/integration/mcpAuthentication.integration.test.ts,10,authentication|workspace
test/integration/auth-activation-race.test.ts,2,Uri|authentication|commands|window|workspace
test/integration/activation-flow.test.ts,8,Uri|commands|window|workspace
test/integration/config.schemahost.test.ts,9,Uri|fs.|window|workspace
test/integration/config/multiroot.integration.test.ts,6,commands|window|workspace
test/integration/config/loaders.sandbox.integration.test.ts,2,fs.|workspace
test/integration/settings.guardian.integration.test.ts,2,workspace
test/integration/telemetry-proxy-offline-queue.test.ts,4,extensions|window|workspace
test/integration/semanticCheckpointNamer.integration.test.ts,3,window|workspace
test/integration/statusbar.integration.test.ts,3,Uri|window
test/integration/operationCoordinator.integration.test.ts,6,window|workspace
test/integration/workspace/multiroot-workflows.integration.test.ts,11,Uri|window|workspace
test/integration/mcpCommands.integration.test.ts,12,commands|window|workspace
test/integration/restore-with-conflicts.test.ts,14,Uri|commands|window|workspace
test/integration/activation-flow.integration.test.ts,8,Uri|commands|window|workspace
test/integration/diagnostics.integration.test.ts,15,Uri|commands|extensions|window|workspace
test/integration/semanticNamer.integration.test.ts,18,Uri|commands|window|workspace
test/integration/conflictResolution.integration.test.ts,20,Uri|commands|fs.|window|workspace
test/integration/storage/StorageManager.integration.test.ts,7,Uri|fs.|workspace
test/integration/rollbackCapability.integration.test.ts,28,Uri|commands|fs.|window|workspace
test/integration/protection/protection-delegation.test.ts,28,Uri|fs.|workspace
test/integration/gitAnalysis.integration.test.ts,19,Uri|authentication|commands|fs.|window|workspace
test/integration/telemetry.integration.test.ts,7,workspace
test/integration/recoveryScenarios.integration.test.ts,40,Uri|commands|fs.|window|workspace
test/integration/core-functionality.integration.test.ts,7,Uri|commands|window|workspace
test/integration/snapBack.integration.test.ts,13,window|workspace
test/integration/progressTracker.integration.test.ts,1,window
test/integration/extension-activation.integration.test.ts,5,Uri|commands|extensions|window|workspace
test/performance/save-handler.performance.test.ts,4,commands|fs.|window|workspace
test/performance/config.performance.test.ts,6,commands|fs.|window|workspace
test/e2e/telemetry.e2e.test.ts,15,window|workspace
test/e2e/dismissSimilarNotifications.e2e.test.ts,0
0,window
